name total correct accuracy error macro_f1
eurosat/16shots/1run/1prompts/seed2 8100 6698 82,7 17,3 81,8
eurosat/16shots/1run/1prompts/seed3 8100 6425 79,3 20,7 78,7
eurosat/16shots/1run/2prompts/seed1 8100 6581 81,2 18,8 80,5
eurosat/16shots/1run/2prompts/seed2 8100 6679 82,5 17,5 81,8
eurosat/16shots/1run/2prompts/seed3 8100 6748 83,3 16,7 82,8
eurosat/16shots/1run/4prompts/seed1 8100 6614 81,7 18,3 81,0
eurosat/16shots/1run/4prompts/seed2 8100 6673 82,4 17,6 81,5
eurosat/16shots/1run/4prompts/seed3 8100 6524 80,5 19,5 80,0
eurosat/16shots/1run/8prompts/seed1 8100 6631 81,9 18,1 81,0
eurosat/16shots/1run/8prompts/seed2 8100 6642 82,0 18,0 81,2
eurosat/16shots/1run/8prompts/seed3 8100 6705 82,8 17,2 82,0
eurosat/16shots/1run/16prompts/seed1 8100 6615 81,7 18,3 81,1
eurosat/16shots/1run/16prompts/seed2 8100 6479 80,0 20,0 79,3
eurosat/16shots/1run/16prompts/seed3 8100 6571 81,1 18,9 80,4
eurosat/16shots/1run/32prompts/seed1 8100 6374 78,7 21,3 77,8
eurosat/16shots/1run/32prompts/seed2 8100 6372 78,7 21,3 77,8
eurosat/16shots/1run/32prompts/seed3 8100 6367 78,6 21,4 77,9
eurosat/16shots/2run/1prompts/seed1 8100 6369 78,6 21,4 78,0
eurosat/16shots/2run/1prompts/seed2 8100 6642 82,0 18,0 81,2
eurosat/16shots/2run/1prompts/seed3 8100 6425 79,3 20,7 78,7
eurosat/16shots/2run/2prompts/seed1 8100 6583 81,3 18,7 80,6
eurosat/16shots/2run/2prompts/seed2 8100 6567 81,1 18,9 80,4
eurosat/16shots/2run/2prompts/seed3 8100 6628 81,8 18,2 81,2
eurosat/16shots/2run/4prompts/seed1 8100 6660 82,2 17,8 81,5
eurosat/16shots/2run/4prompts/seed2 8100 6675 82,4 17,6 81,6
eurosat/16shots/2run/4prompts/seed3 8100 6524 80,5 19,5 80,0
eurosat/16shots/2run/8prompts/seed1 8100 6681 82,5 17,5 81,6
eurosat/16shots/2run/8prompts/seed2 8100 6611 81,6 18,4 80,8
eurosat/16shots/2run/8prompts/seed3 8100 6705 82,8 17,2 82,0
eurosat/16shots/2run/16prompts/seed1 8100 6615 81,7 18,3 81,1
eurosat/16shots/2run/16prompts/seed2 8100 6475 79,9 20,1 79,2
eurosat/16shots/2run/16prompts/seed3 8100 6571 81,1 18,9 80,4
