name total correct accuracy error macro_f1
dtd/1shots/8ctx/2prompts/seed1 1692 759 44.9 55.1 43.0
dtd/1shots/8ctx/2prompts/seed2 1692 766 45.3 54.7 42.9
dtd/1shots/8ctx/2prompts/seed3 1692 772 45.6 54.4 43.1
dtd/1shots/16ctx/1prompts/seed1 1692 731 43.2 56.8 41.3
dtd/1shots/16ctx/1prompts/seed2 1692 768 45.4 54.6 43.6
dtd/1shots/16ctx/1prompts/seed3 1692 726 42.9 57.1 40.5
dtd/2shots/1ctx/16prompts/seed1 1692 895 52.9 47.1 51.7
dtd/2shots/1ctx/16prompts/seed2 1692 843 49.8 50.2 48.7
dtd/2shots/1ctx/16prompts/seed3 1692 904 53.4 46.6 51.8
dtd/2shots/2ctx/8prompts/seed1 1692 866 51.2 48.8 49.2
dtd/2shots/2ctx/8prompts/seed2 1692 839 49.6 50.4 48.2
dtd/2shots/2ctx/8prompts/seed3 1692 901 53.3 46.7 51.4
dtd/2shots/4ctx/4prompts/seed1 1692 854 50.5 49.5 49.1
dtd/2shots/4ctx/4prompts/seed2 1692 812 48.0 52.0 46.3
dtd/2shots/4ctx/4prompts/seed3 1692 860 50.8 49.2 49.1
dtd/2shots/8ctx/2prompts/seed1 1692 845 49.9 50.1 48.8
dtd/2shots/8ctx/2prompts/seed2 1692 806 47.6 52.4 46.2
dtd/2shots/8ctx/2prompts/seed3 1692 870 51.4 48.6 49.8
dtd/2shots/16ctx/1prompts/seed1 1692 824 48.7 51.3 47.1
dtd/2shots/16ctx/1prompts/seed2 1692 786 46.5 53.5 44.8
dtd/2shots/16ctx/1prompts/seed3 1692 786 46.5 53.5 45.6
dtd/4shots/1ctx/16prompts/seed1 1692 988 58.4 41.6 58.0
dtd/4shots/1ctx/16prompts/seed2 1692 979 57.9 42.1 56.9
dtd/4shots/1ctx/16prompts/seed3 1692 971 57.4 42.6 56.1
dtd/4shots/2ctx/8prompts/seed1 1692 974 57.6 42.4 57.0
dtd/4shots/2ctx/8prompts/seed2 1692 993 58.7 41.3 58.0
dtd/4shots/2ctx/8prompts/seed3 1692 979 57.9 42.1 56.8
dtd/4shots/4ctx/4prompts/seed1 1692 969 57.3 42.7 56.9
