name total correct accuracy error macro_f1
food101/8shots/8ctx/2prompts/seed1 30300 23060 76.1 23.9 75.8
food101/8shots/8ctx/2prompts/seed2 30300 23585 77.8 22.2 77.8
food101/8shots/8ctx/2prompts/seed3 30300 22969 75.8 24.2 75.6
food101/8shots/16ctx/1prompts/seed1 30300 22734 75.0 25.0 74.7
food101/8shots/16ctx/1prompts/seed2 30300 23384 77.2 22.8 77.1
food101/8shots/16ctx/1prompts/seed3 30300 23181 76.5 23.5 76.3
food101/16shots/1ctx/16prompts/seed1     
food101/16shots/1ctx/16prompts/seed2     
food101/16shots/1ctx/16prompts/seed3     
food101/16shots/2ctx/8prompts/seed1 30300 23916 78.9 21.1 78.8
food101/16shots/2ctx/8prompts/seed2 30300 23925 79.0 21.0 78.9
food101/16shots/2ctx/8prompts/seed3 30300 23918 78.9 21.1 78.8
food101/16shots/4ctx/4prompts/seed1 30300 23660 78.1 21.9 78.0
food101/16shots/4ctx/4prompts/seed2 30300 23655 78.1 21.9 78.0
food101/16shots/4ctx/4prompts/seed3 30300 23664 78.1 21.9 78.0
food101/16shots/8ctx/2prompts/seed1 30300 23424 77.3 22.7 77.3
food101/16shots/8ctx/2prompts/seed2 30300 23518 77.6 22.4 77.6
food101/16shots/8ctx/2prompts/seed3 30300 23492 77.5 22.5 77.4
food101/16shots/16ctx/1prompts/seed1 30300 23283 76.8 23.2 76.7
food101/16shots/16ctx/1prompts/seed2 30300 23309 76.9 23.1 76.9
food101/16shots/16ctx/1prompts/seed3 30300 23353 77.1 22.9 76.9
imagenet/1shots/1ctx/16prompts/seed1     
imagenet/1shots/1ctx/16prompts/seed2     
imagenet/1shots/1ctx/16prompts/seed3     
imagenet/1shots/2ctx/8prompts/seed1     
imagenet/1shots/2ctx/8prompts/seed2     
imagenet/1shots/2ctx/8prompts/seed3     
imagenet/1shots/4ctx/4prompts/seed1     
imagenet/1shots/4ctx/4prompts/seed2     
imagenet/1shots/4ctx/4prompts/seed3     
imagenet/1shots/8ctx/2prompts/seed1     
imagenet/1shots/8ctx/2prompts/seed2     
imagenet/1shots/8ctx/2prompts/seed3     
imagenet/1shots/16ctx/1prompts/seed1 50000 26995 54.0 46.0 52.9
imagenet/1shots/16ctx/1prompts/seed2 50000 26343 52.7 47.3 51.3
imagenet/1shots/16ctx/1prompts/seed3 50000 26452 52.9 47.1 51.8
imagenet/2shots/1ctx/16prompts/seed1     
imagenet/2shots/1ctx/16prompts/seed2     
imagenet/2shots/1ctx/16prompts/seed3     
imagenet/2shots/2ctx/8prompts/seed1     
imagenet/2shots/2ctx/8prompts/seed2     
imagenet/2shots/2ctx/8prompts/seed3     
imagenet/2shots/4ctx/4prompts/seed1     
imagenet/2shots/4ctx/4prompts/seed2     
imagenet/2shots/4ctx/4prompts/seed3     
imagenet/2shots/8ctx/2prompts/seed1     
imagenet/2shots/8ctx/2prompts/seed2     
imagenet/2shots/8ctx/2prompts/seed3     
imagenet/2shots/16ctx/1prompts/seed1 50000 28295 56.6 43.4 55.6
imagenet/2shots/16ctx/1prompts/seed2 50000 28442 56.9 43.1 55.9
imagenet/2shots/16ctx/1prompts/seed3 50000 28165 56.3 43.7 55.3
imagenet/4shots/1ctx/16prompts/seed1     
imagenet/4shots/1ctx/16prompts/seed2     
imagenet/4shots/1ctx/16prompts/seed3     
imagenet/4shots/2ctx/8prompts/seed1     
imagenet/4shots/2ctx/8prompts/seed2     
imagenet/4shots/2ctx/8prompts/seed3     
imagenet/4shots/4ctx/4prompts/seed1     
imagenet/4shots/4ctx/4prompts/seed2     
imagenet/4shots/4ctx/4prompts/seed3     
imagenet/4shots/8ctx/2prompts/seed1     
imagenet/4shots/8ctx/2prompts/seed2     
imagenet/4shots/8ctx/2prompts/seed3     
imagenet/4shots/16ctx/1prompts/seed1 50000 29862 59.7 40.3 59.0
imagenet/4shots/16ctx/1prompts/seed2     
imagenet/4shots/16ctx/1prompts/seed3     
imagenet/8shots/1ctx/16prompts/seed1     
imagenet/8shots/1ctx/16prompts/seed2     
imagenet/8shots/1ctx/16prompts/seed3     
imagenet/8shots/2ctx/8prompts/seed1     
imagenet/8shots/2ctx/8prompts/seed2     
imagenet/8shots/2ctx/8prompts/seed3     
imagenet/8shots/4ctx/4prompts/seed1     
imagenet/8shots/4ctx/4prompts/seed2     
imagenet/8shots/4ctx/4prompts/seed3     
imagenet/8shots/8ctx/2prompts/seed1     
imagenet/8shots/8ctx/2prompts/seed2     
imagenet/8shots/8ctx/2prompts/seed3     
imagenet/8shots/16ctx/1prompts/seed1     
imagenet/8shots/16ctx/1prompts/seed2     
imagenet/8shots/16ctx/1prompts/seed3     
imagenet/16shots/1ctx/16prompts/seed1     
imagenet/16shots/1ctx/16prompts/seed2     
imagenet/16shots/1ctx/16prompts/seed3     
imagenet/16shots/2ctx/8prompts/seed1     
imagenet/16shots/2ctx/8prompts/seed2     
imagenet/16shots/2ctx/8prompts/seed3     
imagenet/16shots/4ctx/4prompts/seed1     
imagenet/16shots/4ctx/4prompts/seed2     
imagenet/16shots/4ctx/4prompts/seed3     
imagenet/16shots/8ctx/2prompts/seed1     
imagenet/16shots/8ctx/2prompts/seed2     
imagenet/16shots/8ctx/2prompts/seed3     
imagenet/16shots/16ctx/1prompts/seed1     
imagenet/16shots/16ctx/1prompts/seed2     
imagenet/16shots/16ctx/1prompts/seed3     
oxford_flowers/1shots/1ctx/16prompts/seed1     
oxford_flowers/1shots/1ctx/16prompts/seed2     
oxford_flowers/1shots/1ctx/16prompts/seed3     
oxford_flowers/1shots/2ctx/8prompts/seed1 2463 1776 72.1 27.9 69.4
oxford_flowers/1shots/2ctx/8prompts/seed2 2463 1779 72.2 27.8 68.8
oxford_flowers/1shots/2ctx/8prompts/seed3 2463 1821 73.9 26.1 69.9
oxford_flowers/1shots/4ctx/4prompts/seed1 2463 1736 70.5 29.5 68.4
oxford_flowers/1shots/4ctx/4prompts/seed2 2463 1781 72.3 27.7 70.2
oxford_flowers/1shots/4ctx/4prompts/seed3 2463 1822 74.0 26.0 70.0
oxford_flowers/1shots/8ctx/2prompts/seed1 2463 1756 71.3 28.7 67.5
oxford_flowers/1shots/8ctx/2prompts/seed2 2463 1788 72.6 27.4 69.9
oxford_flowers/1shots/8ctx/2prompts/seed3 2463 1600 65.0 35.0 61.2
oxford_flowers/1shots/16ctx/1prompts/seed1 2463 1754 71.2 28.8 69.5
oxford_flowers/1shots/16ctx/1prompts/seed2 2463 1609 65.3 34.7 62.3
oxford_flowers/1shots/16ctx/1prompts/seed3 2463 1636 66.4 33.6 62.1
oxford_flowers/2shots/1ctx/16prompts/seed1     
oxford_flowers/2shots/1ctx/16prompts/seed2     
oxford_flowers/2shots/1ctx/16prompts/seed3     
oxford_flowers/2shots/2ctx/8prompts/seed1 2463 1902 77.2 22.8 74.1
oxford_flowers/2shots/2ctx/8prompts/seed2 2463 1930 78.4 21.6 75.7
oxford_flowers/2shots/2ctx/8prompts/seed3 2463 1966 79.8 20.2 78.0
oxford_flowers/2shots/4ctx/4prompts/seed1 2463 1838 74.6 25.4 72.4
oxford_flowers/2shots/4ctx/4prompts/seed2 2463 1960 79.6 20.4 77.2
oxford_flowers/2shots/4ctx/4prompts/seed3 2463 2054 83.4 16.6 81.7
oxford_flowers/2shots/8ctx/2prompts/seed1 2463 1825 74.1 25.9 69.5
oxford_flowers/2shots/8ctx/2prompts/seed2 2463 1955 79.4 20.6 75.9
oxford_flowers/2shots/8ctx/2prompts/seed3 2463 1812 73.6 26.4 70.2
oxford_flowers/2shots/16ctx/1prompts/seed1 2463 1917 77.8 22.2 75.9
oxford_flowers/2shots/16ctx/1prompts/seed2 2463 1803 73.2 26.8 71.2
oxford_flowers/2shots/16ctx/1prompts/seed3 2463 1745 70.8 29.2 66.2
oxford_flowers/4shots/1ctx/16prompts/seed1     
oxford_flowers/4shots/1ctx/16prompts/seed2     
oxford_flowers/4shots/1ctx/16prompts/seed3     
oxford_flowers/4shots/2ctx/8prompts/seed1 2463 2087 84.7 15.3 83.7
oxford_flowers/4shots/2ctx/8prompts/seed2 2463 2062 83.7 16.3 82.7
oxford_flowers/4shots/2ctx/8prompts/seed3 2463 2136 86.7 13.3 86.3
oxford_flowers/4shots/4ctx/4prompts/seed1 2463 2080 84.4 15.6 83.3
oxford_flowers/4shots/4ctx/4prompts/seed2 2463 2102 85.3 14.7 84.6
oxford_flowers/4shots/4ctx/4prompts/seed3 2463 2167 88.0 12.0 87.2
oxford_flowers/4shots/8ctx/2prompts/seed1 2463 2022 82.1 17.9 79.8
oxford_flowers/4shots/8ctx/2prompts/seed2 2463 2081 84.5 15.5 83.5
oxford_flowers/4shots/8ctx/2prompts/seed3 2463 2063 83.8 16.2 82.8
oxford_flowers/4shots/16ctx/1prompts/seed1 2463 2126 86.3 13.7 85.7
oxford_flowers/4shots/16ctx/1prompts/seed2 2463 2002 81.3 18.7 79.5
oxford_flowers/4shots/16ctx/1prompts/seed3 2463 1935 78.6 21.4 76.2
oxford_flowers/8shots/1ctx/16prompts/seed1     
oxford_flowers/8shots/1ctx/16prompts/seed2     
oxford_flowers/8shots/1ctx/16prompts/seed3     
oxford_flowers/8shots/2ctx/8prompts/seed1 2463 2202 89.4 10.6 88.7
oxford_flowers/8shots/2ctx/8prompts/seed2 2463 2216 90.0 10.0 89.3
oxford_flowers/8shots/2ctx/8prompts/seed3 2463 2232 90.6 9.4 90.0
oxford_flowers/8shots/4ctx/4prompts/seed1 2463 2244 91.1 8.9 90.6
oxford_flowers/8shots/4ctx/4prompts/seed2 2463 2236 90.8 9.2 90.2
oxford_flowers/8shots/4ctx/4prompts/seed3 2463 2256 91.6 8.4 91.5
oxford_flowers/8shots/8ctx/2prompts/seed1 2463 2213 89.8 10.2 89.2
oxford_flowers/8shots/8ctx/2prompts/seed2 2463 2251 91.4 8.6 90.9
oxford_flowers/8shots/8ctx/2prompts/seed3 2463 2234 90.7 9.3 90.5
oxford_flowers/8shots/16ctx/1prompts/seed1 2463 2196 89.2 10.8 89.1
oxford_flowers/8shots/16ctx/1prompts/seed2 2463 2215 89.9 10.1 89.4
oxford_flowers/8shots/16ctx/1prompts/seed3 2463 2184 88.7 11.3 88.1
oxford_flowers/16shots/1ctx/16prompts/seed1     
oxford_flowers/16shots/1ctx/16prompts/seed2     
oxford_flowers/16shots/1ctx/16prompts/seed3     
oxford_flowers/16shots/2ctx/8prompts/seed1 2463 2281 92.6 7.4 92.3
oxford_flowers/16shots/2ctx/8prompts/seed2 2463 2296 93.2 6.8 93.1
oxford_flowers/16shots/2ctx/8prompts/seed3 2463 2305 93.6 6.4 93.1
oxford_flowers/16shots/4ctx/4prompts/seed1 2463 2322 94.3 5.7 94.2
oxford_flowers/16shots/4ctx/4prompts/seed2 2463 2309 93.7 6.3 93.9
oxford_flowers/16shots/4ctx/4prompts/seed3 2463 2337 94.9 5.1 94.7
oxford_flowers/16shots/8ctx/2prompts/seed1 2463 2313 93.9 6.1 93.8
oxford_flowers/16shots/8ctx/2prompts/seed2 2463 2311 93.8 6.2 93.9
oxford_flowers/16shots/8ctx/2prompts/seed3 2463 2328 94.5 5.5 94.4
oxford_flowers/16shots/16ctx/1prompts/seed1 2463 2295 93.2 6.8 93.0
oxford_flowers/16shots/16ctx/1prompts/seed2 2463 2301 93.4 6.6 93.0
oxford_flowers/16shots/16ctx/1prompts/seed3 2463 2320 94.2 5.8 94.0
oxford_pets/1shots/1ctx/16prompts/seed1 3669 3232 88.1 11.9 88.1
oxford_pets/1shots/1ctx/16prompts/seed2 3669 3250 88.6 11.4 88.6
oxford_pets/1shots/1ctx/16prompts/seed3 3669 3217 87.7 12.3 87.6
oxford_pets/1shots/2ctx/8prompts/seed1 3669 3258 88.8 11.2 88.7
oxford_pets/1shots/2ctx/8prompts/seed2 3669 3235 88.2 11.8 88.1
oxford_pets/1shots/2ctx/8prompts/seed3 3669 3229 88.0 12.0 88.0
oxford_pets/1shots/4ctx/4prompts/seed1 3669 3268 89.1 10.9 89.1
oxford_pets/1shots/4ctx/4prompts/seed2 3669 3221 87.8 12.2 87.6
oxford_pets/1shots/4ctx/4prompts/seed3 3669 3228 88.0 12.0 87.9
oxford_pets/1shots/8ctx/2prompts/seed1 3669 3220 87.8 12.2 87.6
oxford_pets/1shots/8ctx/2prompts/seed2 3669 3118 85.0 15.0 84.7
oxford_pets/1shots/8ctx/2prompts/seed3 3669 3172 86.5 13.5 86.2
oxford_pets/1shots/16ctx/1prompts/seed1 3669 3118 85.0 15.0 84.7
oxford_pets/1shots/16ctx/1prompts/seed2 3669 3192 87.0 13.0 86.8
oxford_pets/1shots/16ctx/1prompts/seed3 3669 3130 85.3 14.7 84.7
oxford_pets/2shots/1ctx/16prompts/seed1 3669 3264 89.0 11.0 88.9
oxford_pets/2shots/1ctx/16prompts/seed2 3669 3240 88.3 11.7 87.8
oxford_pets/2shots/1ctx/16prompts/seed3 3669 3241 88.3 11.7 88.3
oxford_pets/2shots/2ctx/8prompts/seed1 3669 3229 88.0 12.0 87.8
oxford_pets/2shots/2ctx/8prompts/seed2 3669 3242 88.4 11.6 88.0
oxford_pets/2shots/2ctx/8prompts/seed3 3669 3236 88.2 11.8 88.2
oxford_pets/2shots/4ctx/4prompts/seed1 3669 3191 87.0 13.0 86.8
oxford_pets/2shots/4ctx/4prompts/seed2 3669 3192 87.0 13.0 86.4
oxford_pets/2shots/4ctx/4prompts/seed3 3669 3216 87.7 12.3 87.7
oxford_pets/2shots/8ctx/2prompts/seed1 3669 3119 85.0 15.0 84.5
oxford_pets/2shots/8ctx/2prompts/seed2 3669 3165 86.3 13.7 85.5
oxford_pets/2shots/8ctx/2prompts/seed3 3669 3155 86.0 14.0 86.0
oxford_pets/2shots/16ctx/1prompts/seed1 3669 3106 84.7 15.3 84.0
oxford_pets/2shots/16ctx/1prompts/seed2 3669 3162 86.2 13.8 85.8
oxford_pets/2shots/16ctx/1prompts/seed3 3669 3174 86.5 13.5 86.4
oxford_pets/4shots/1ctx/16prompts/seed1 3669 3274 89.2 10.8 89.2
oxford_pets/4shots/1ctx/16prompts/seed2 3669 3278 89.3 10.7 89.2
oxford_pets/4shots/1ctx/16prompts/seed3 3669 3248 88.5 11.5 88.5
oxford_pets/4shots/2ctx/8prompts/seed1 3669 3272 89.2 10.8 89.2
oxford_pets/4shots/2ctx/8prompts/seed2 3669 3272 89.2 10.8 89.0
oxford_pets/4shots/2ctx/8prompts/seed3 3669 3270 89.1 10.9 89.1
oxford_pets/4shots/4ctx/4prompts/seed1 3669 3281 89.4 10.6 89.4
oxford_pets/4shots/4ctx/4prompts/seed2 3669 3207 87.4 12.6 87.0
oxford_pets/4shots/4ctx/4prompts/seed3 3669 3227 88.0 12.0 88.0
oxford_pets/4shots/8ctx/2prompts/seed1 3669 3245 88.4 11.6 88.5
oxford_pets/4shots/8ctx/2prompts/seed2 3669 3155 86.0 14.0 85.6
oxford_pets/4shots/8ctx/2prompts/seed3 3669 3190 86.9 13.1 86.9
oxford_pets/4shots/16ctx/1prompts/seed1 3669 3253 88.7 11.3 88.7
oxford_pets/4shots/16ctx/1prompts/seed2 3669 3211 87.5 12.5 87.3
oxford_pets/4shots/16ctx/1prompts/seed3 3669 3232 88.1 11.9 88.0
oxford_pets/8shots/1ctx/16prompts/seed1 3669 3294 89.8 10.2 89.7
oxford_pets/8shots/1ctx/16prompts/seed2 3669 3283 89.5 10.5 89.5
oxford_pets/8shots/1ctx/16prompts/seed3 3669 3301 90.0 10.0 89.9
oxford_pets/8shots/2ctx/8prompts/seed1 3669 3278 89.3 10.7 89.3
oxford_pets/8shots/2ctx/8prompts/seed2 3669 3264 89.0 11.0 89.0
oxford_pets/8shots/2ctx/8prompts/seed3 3669 3282 89.5 10.5 89.4
oxford_pets/8shots/4ctx/4prompts/seed1 3669 3267 89.0 11.0 89.0
oxford_pets/8shots/4ctx/4prompts/seed2 3669 3264 89.0 11.0 89.0
oxford_pets/8shots/4ctx/4prompts/seed3 3669 3287 89.6 10.4 89.6
oxford_pets/8shots/8ctx/2prompts/seed1 3669 3256 88.7 11.3 88.6
oxford_pets/8shots/8ctx/2prompts/seed2 3669 3244 88.4 11.6 88.4
oxford_pets/8shots/8ctx/2prompts/seed3 3669 3251 88.6 11.4 88.5
oxford_pets/8shots/16ctx/1prompts/seed1 3669 3223 87.8 12.2 87.8
oxford_pets/8shots/16ctx/1prompts/seed2 3669 3230 88.0 12.0 88.0
oxford_pets/8shots/16ctx/1prompts/seed3 3669 3230 88.0 12.0 87.9
oxford_pets/16shots/1ctx/16prompts/seed1 3669 3308 90.2 9.8 90.1
oxford_pets/16shots/1ctx/16prompts/seed2 3669 3299 89.9 10.1 89.9
oxford_pets/16shots/1ctx/16prompts/seed3 3669 3304 90.1 9.9 90.0
oxford_pets/16shots/2ctx/8prompts/seed1 3669 3293 89.8 10.2 89.6
oxford_pets/16shots/2ctx/8prompts/seed2 3669 3260 88.9 11.1 88.8
oxford_pets/16shots/2ctx/8prompts/seed3 3669 3291 89.7 10.3 89.6
oxford_pets/16shots/4ctx/4prompts/seed1 3669 3285 89.5 10.5 89.4
oxford_pets/16shots/4ctx/4prompts/seed2 3669 3236 88.2 11.8 88.2
oxford_pets/16shots/4ctx/4prompts/seed3 3669 3293 89.8 10.2 89.7
oxford_pets/16shots/8ctx/2prompts/seed1 3669 3270 89.1 10.9 89.0
oxford_pets/16shots/8ctx/2prompts/seed2 3669 3232 88.1 11.9 87.9
oxford_pets/16shots/8ctx/2prompts/seed3 3669 3294 89.8 10.2 89.7
oxford_pets/16shots/16ctx/1prompts/seed1 3669 3246 88.5 11.5 88.4
oxford_pets/16shots/16ctx/1prompts/seed2 3669 3246 88.5 11.5 88.4
oxford_pets/16shots/16ctx/1prompts/seed3 3669 3235 88.2 11.8 88.0
stanford_cars/1shots/1ctx/16prompts/seed1     
stanford_cars/1shots/1ctx/16prompts/seed2     
stanford_cars/1shots/1ctx/16prompts/seed3     
stanford_cars/1shots/2ctx/8prompts/seed1     
stanford_cars/1shots/2ctx/8prompts/seed2     
stanford_cars/1shots/2ctx/8prompts/seed3     
stanford_cars/1shots/4ctx/4prompts/seed1 8041 4741 59.0 41.0 57.6
stanford_cars/1shots/4ctx/4prompts/seed2 8041 4805 59.8 40.2 58.6
stanford_cars/1shots/4ctx/4prompts/seed3 8041 4692 58.4 41.6 57.1
stanford_cars/1shots/8ctx/2prompts/seed1 8041 4541 56.5 43.5 54.9
stanford_cars/1shots/8ctx/2prompts/seed2 8041 4775 59.4 40.6 58.1
stanford_cars/1shots/8ctx/2prompts/seed3 8041 4612 57.4 42.6 56.3
stanford_cars/1shots/16ctx/1prompts/seed1 8041 4533 56.4 43.6 55.3
stanford_cars/1shots/16ctx/1prompts/seed2 8041 4530 56.3 43.7 55.5
stanford_cars/1shots/16ctx/1prompts/seed3 8041 4445 55.3 44.7 53.7
stanford_cars/2shots/1ctx/16prompts/seed1     
stanford_cars/2shots/1ctx/16prompts/seed2     
stanford_cars/2shots/1ctx/16prompts/seed3     
stanford_cars/2shots/2ctx/8prompts/seed1     
stanford_cars/2shots/2ctx/8prompts/seed2     
stanford_cars/2shots/2ctx/8prompts/seed3     
stanford_cars/2shots/4ctx/4prompts/seed1 8041 4826 60.0 40.0 59.2
stanford_cars/2shots/4ctx/4prompts/seed2 8041 4954 61.6 38.4 60.5
stanford_cars/2shots/4ctx/4prompts/seed3 8041 4903 61.0 39.0 60.2
stanford_cars/2shots/8ctx/2prompts/seed1 8041 4899 60.9 39.1 60.1
stanford_cars/2shots/8ctx/2prompts/seed2 8041 4885 60.8 39.2 59.6
stanford_cars/2shots/8ctx/2prompts/seed3 8041 4869 60.6 39.4 59.5
stanford_cars/2shots/16ctx/1prompts/seed1 8041 4708 58.5 41.5 57.8
stanford_cars/2shots/16ctx/1prompts/seed2 8041 4792 59.6 40.4 58.5
stanford_cars/2shots/16ctx/1prompts/seed3 8041 4605 57.3 42.7 56.2
stanford_cars/4shots/1ctx/16prompts/seed1     
stanford_cars/4shots/1ctx/16prompts/seed2     
stanford_cars/4shots/1ctx/16prompts/seed3     
stanford_cars/4shots/2ctx/8prompts/seed1     
stanford_cars/4shots/2ctx/8prompts/seed2     
stanford_cars/4shots/2ctx/8prompts/seed3     
stanford_cars/4shots/4ctx/4prompts/seed1 8041 5151 64.1 35.9 63.4
stanford_cars/4shots/4ctx/4prompts/seed2 8041 5259 65.4 34.6 64.9
stanford_cars/4shots/4ctx/4prompts/seed3 8041 5165 64.2 35.8 63.3
stanford_cars/4shots/8ctx/2prompts/seed1 8041 5140 63.9 36.1 63.0
stanford_cars/4shots/8ctx/2prompts/seed2 8041 5162 64.2 35.8 63.5
stanford_cars/4shots/8ctx/2prompts/seed3 8041 5123 63.7 36.3 62.7
stanford_cars/4shots/16ctx/1prompts/seed1 8041 4924 61.2 38.8 60.4
stanford_cars/4shots/16ctx/1prompts/seed2 8041 5099 63.4 36.6 62.7
stanford_cars/4shots/16ctx/1prompts/seed3 8041 4981 61.9 38.1 61.1
stanford_cars/8shots/1ctx/16prompts/seed1     
stanford_cars/8shots/1ctx/16prompts/seed2     
stanford_cars/8shots/1ctx/16prompts/seed3     
stanford_cars/8shots/2ctx/8prompts/seed1     
stanford_cars/8shots/2ctx/8prompts/seed2     
stanford_cars/8shots/2ctx/8prompts/seed3     
stanford_cars/8shots/4ctx/4prompts/seed1 8041 5420 67.4 32.6 66.8
stanford_cars/8shots/4ctx/4prompts/seed2 8041 5467 68.0 32.0 67.3
stanford_cars/8shots/4ctx/4prompts/seed3 8041 5462 67.9 32.1 67.6
stanford_cars/8shots/8ctx/2prompts/seed1 8041 5484 68.2 31.8 67.6
stanford_cars/8shots/8ctx/2prompts/seed2 8041 5494 68.3 31.7 67.9
stanford_cars/8shots/8ctx/2prompts/seed3 8041 5497 68.4 31.6 68.1
stanford_cars/8shots/16ctx/1prompts/seed1 8041 5315 66.1 33.9 65.6
stanford_cars/8shots/16ctx/1prompts/seed2 8041 5385 67.0 33.0 66.5
stanford_cars/8shots/16ctx/1prompts/seed3 8041 5325 66.2 33.8 65.9
stanford_cars/16shots/1ctx/16prompts/seed1     
stanford_cars/16shots/1ctx/16prompts/seed2     
stanford_cars/16shots/1ctx/16prompts/seed3     
stanford_cars/16shots/2ctx/8prompts/seed1     
stanford_cars/16shots/2ctx/8prompts/seed2     
stanford_cars/16shots/2ctx/8prompts/seed3     
stanford_cars/16shots/4ctx/4prompts/seed1 8041 5765 71.7 28.3 71.2
stanford_cars/16shots/4ctx/4prompts/seed2 8041 5809 72.2 27.8 71.9
stanford_cars/16shots/4ctx/4prompts/seed3 8041 5750 71.5 28.5 71.1
stanford_cars/16shots/8ctx/2prompts/seed1 8041 5732 71.3 28.7 70.8
stanford_cars/16shots/8ctx/2prompts/seed2 8041 5780 71.9 28.1 71.6
stanford_cars/16shots/8ctx/2prompts/seed3 8041 5804 72.2 27.8 71.7
stanford_cars/16shots/16ctx/1prompts/seed1 8041 5730 71.3 28.7 70.9
stanford_cars/16shots/16ctx/1prompts/seed2 8041 5699 70.9 29.1 70.5
stanford_cars/16shots/16ctx/1prompts/seed3 8041 5722 71.2 28.8 70.8
sun397/1shots/1ctx/16prompts/seed1     
sun397/1shots/1ctx/16prompts/seed2     
sun397/1shots/1ctx/16prompts/seed3     
sun397/1shots/2ctx/8prompts/seed1     
sun397/1shots/2ctx/8prompts/seed2     
sun397/1shots/2ctx/8prompts/seed3     
sun397/1shots/4ctx/4prompts/seed1     
sun397/1shots/4ctx/4prompts/seed2     
sun397/1shots/4ctx/4prompts/seed3     
sun397/1shots/8ctx/2prompts/seed1 19850 11975 60.3 39.7 59.3
sun397/1shots/8ctx/2prompts/seed2 19850 12162 61.3 38.7 60.5
sun397/1shots/8ctx/2prompts/seed3 19850 12003 60.5 39.5 59.6
sun397/1shots/16ctx/1prompts/seed1 19850 11780 59.3 40.7 58.5
sun397/1shots/16ctx/1prompts/seed2 19850 11959 60.2 39.8 59.7
sun397/1shots/16ctx/1prompts/seed3 19850 11945 60.2 39.8 59.6
sun397/2shots/1ctx/16prompts/seed1     
sun397/2shots/1ctx/16prompts/seed2     
sun397/2shots/1ctx/16prompts/seed3     
sun397/2shots/2ctx/8prompts/seed1     
sun397/2shots/2ctx/8prompts/seed2     
sun397/2shots/2ctx/8prompts/seed3     
sun397/2shots/4ctx/4prompts/seed1     
sun397/2shots/4ctx/4prompts/seed2     
sun397/2shots/4ctx/4prompts/seed3     
sun397/2shots/8ctx/2prompts/seed1 19850 12375 62.3 37.7 61.5
sun397/2shots/8ctx/2prompts/seed2 19850 12456 62.8 37.2 62.0
sun397/2shots/8ctx/2prompts/seed3 19850 12230 61.6 38.4 61.0
sun397/2shots/16ctx/1prompts/seed1 19850 12376 62.3 37.7 61.8
sun397/2shots/16ctx/1prompts/seed2 19850 12521 63.1 36.9 62.5
sun397/2shots/16ctx/1prompts/seed3 19850 12269 61.8 38.2 61.1
sun397/4shots/1ctx/16prompts/seed1     
sun397/4shots/1ctx/16prompts/seed2     
sun397/4shots/1ctx/16prompts/seed3     
sun397/4shots/2ctx/8prompts/seed1     
sun397/4shots/2ctx/8prompts/seed2     
sun397/4shots/2ctx/8prompts/seed3     
sun397/4shots/4ctx/4prompts/seed1     
sun397/4shots/4ctx/4prompts/seed2     
sun397/4shots/4ctx/4prompts/seed3     
sun397/4shots/8ctx/2prompts/seed1 19850 13104 66.0 34.0 65.5
sun397/4shots/8ctx/2prompts/seed2 19850 13046 65.7 34.3 65.3
sun397/4shots/8ctx/2prompts/seed3 19850 12828 64.6 35.4 64.2
sun397/4shots/16ctx/1prompts/seed1 19850 12919 65.1 34.9 64.7
sun397/4shots/16ctx/1prompts/seed2 19850 12896 65.0 35.0 64.6
sun397/4shots/16ctx/1prompts/seed3 19850 12653 63.7 36.3 63.2
sun397/8shots/1ctx/16prompts/seed1     
sun397/8shots/1ctx/16prompts/seed2     
sun397/8shots/1ctx/16prompts/seed3     
sun397/8shots/2ctx/8prompts/seed1     
sun397/8shots/2ctx/8prompts/seed2     
sun397/8shots/2ctx/8prompts/seed3     
sun397/8shots/4ctx/4prompts/seed1     
sun397/8shots/4ctx/4prompts/seed2     
sun397/8shots/4ctx/4prompts/seed3     
sun397/8shots/8ctx/2prompts/seed1 19850 13566 68.3 31.7 68.0
sun397/8shots/8ctx/2prompts/seed2 19850 13495 68.0 32.0 67.5
sun397/8shots/8ctx/2prompts/seed3 19850 13440 67.7 32.3 67.2
sun397/8shots/16ctx/1prompts/seed1 19850 13506 68.0 32.0 67.7
sun397/8shots/16ctx/1prompts/seed2 19850 13375 67.4 32.6 67.1
sun397/8shots/16ctx/1prompts/seed3 19850 13341 67.2 32.8 66.9
sun397/16shots/1ctx/16prompts/seed1     
sun397/16shots/1ctx/16prompts/seed2     
sun397/16shots/1ctx/16prompts/seed3     
sun397/16shots/2ctx/8prompts/seed1     
sun397/16shots/2ctx/8prompts/seed2     
sun397/16shots/2ctx/8prompts/seed3     
sun397/16shots/4ctx/4prompts/seed1     
sun397/16shots/4ctx/4prompts/seed2     
sun397/16shots/4ctx/4prompts/seed3     
sun397/16shots/8ctx/2prompts/seed1 19850 13910 70.1 29.9 69.8
sun397/16shots/8ctx/2prompts/seed2 19850 13919 70.1 29.9 69.9
sun397/16shots/8ctx/2prompts/seed3 19850 13929 70.2 29.8 69.9
sun397/16shots/16ctx/1prompts/seed1 19850 13890 70.0 30.0 69.7
sun397/16shots/16ctx/1prompts/seed2 19850 13912 70.1 29.9 69.9
sun397/16shots/16ctx/1prompts/seed3 19850 13938 70.2 29.8 70.0
ucf101/1shots/1ctx/16prompts/seed1     
ucf101/1shots/1ctx/16prompts/seed2     
ucf101/1shots/1ctx/16prompts/seed3     
