oxford_pets/16shots/1run/1prompts/seed1 3669 3248 88.5 11.5 88.5
16shots/1run/1prompts/seed1/index0 3669 3246 88.5 11.5 88.4
oxford_pets/16shots/1run/1prompts/seed2 3669 3239 88.3 11.7 88.2
16shots/1run/1prompts/seed2/index0 3669 3242 88.4 11.6 88.3
oxford_pets/16shots/1run/1prompts/seed3 3669 3240 88.3 11.7 88.2
16shots/1run/1prompts/seed3/index0 3669 3240 88.3 11.7 88.2
oxford_pets/16shots/1run/2prompts/seed1 3669 3236 88.2 11.8 88.0
16shots/1run/2prompts/seed1/index0 3669 3042 82.9 17.1 83.0
16shots/1run/2prompts/seed1/index1 3669 3162 86.2 13.8 85.5
oxford_pets/16shots/1run/2prompts/seed2 3669 3202 87.3 12.7 87.1
16shots/1run/2prompts/seed2/index0 3669 3132 85.4 14.6 85.5
16shots/1run/2prompts/seed2/index1 3669 2929 79.8 20.2 78.9
oxford_pets/16shots/1run/2prompts/seed3 3669 3234 88.1 11.9 88.0
16shots/1run/2prompts/seed3/index0 3669 2982 81.3 18.7 80.9
16shots/1run/2prompts/seed3/index1 3669 3219 87.7 12.3 87.7
oxford_pets/16shots/1run/4prompts/seed1 3669 3252 88.6 11.4 88.4
16shots/1run/4prompts/seed1/index0 3669 2566 69.9 30.1 69.6
16shots/1run/4prompts/seed1/index1 3669 2988 81.4 18.6 80.8
16shots/1run/4prompts/seed1/index2 3669 3158 86.1 13.9 86.1
16shots/1run/4prompts/seed1/index3 3669 3195 87.1 12.9 86.8
oxford_pets/16shots/1run/4prompts/seed2 3669 3235 88.2 11.8 88.0
16shots/1run/4prompts/seed2/index0 3669 2850 77.7 22.3 75.5
16shots/1run/4prompts/seed2/index1 3669 2892 78.8 21.2 78.1
16shots/1run/4prompts/seed2/index2 3669 2620 71.4 28.6 72.1
16shots/1run/4prompts/seed2/index3 3669 3064 83.5 16.5 82.9
oxford_pets/16shots/1run/4prompts/seed3 3669 3260 88.9 11.1 88.7
16shots/1run/4prompts/seed3/index0 3669 2846 77.6 22.4 76.3
16shots/1run/4prompts/seed3/index1 3669 3040 82.9 17.1 82.4
16shots/1run/4prompts/seed3/index2 3669 2873 78.3 21.7 77.5
16shots/1run/4prompts/seed3/index3 3669 2973 81.0 19.0 80.2
oxford_pets/16shots/1run/8prompts/seed1 3669 3252 88.6 11.4 88.4
16shots/1run/8prompts/seed1/index0 3669 2896 78.9 21.1 77.8
16shots/1run/8prompts/seed1/index1 3669 2619 71.4 28.6 70.6
16shots/1run/8prompts/seed1/index2 3669 2881 78.5 21.5 77.5
16shots/1run/8prompts/seed1/index3 3669 3154 86.0 14.0 85.5
16shots/1run/8prompts/seed1/index4 3669 3082 84.0 16.0 83.4
16shots/1run/8prompts/seed1/index5 3669 2676 72.9 27.1 71.2
16shots/1run/8prompts/seed1/index6 3669 2726 74.3 25.7 73.7
16shots/1run/8prompts/seed1/index7 3669 3028 82.5 17.5 81.6
oxford_pets/16shots/1run/8prompts/seed2 3669 3264 89.0 11.0 88.8
16shots/1run/8prompts/seed2/index0 3669 2726 74.3 25.7 73.1
